policy,workload,rep,trials,majority_query_rate,any_query_rate,majority_interval_rate,any_interval_rate,mean_query_ratio,mean_peak_ratio,max_tail_ratio,zero_ratio_in_both_capture_orders,first_fragments,noninitial_fragments,forged_logged,forged_observed,clock_offset_range_ms,capture_order_inversions,max_capture_inversion_ms,record_order_max_orphan_ratio
B0_OFF,ATTACK_DIVERSE_MODERATE,9,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,321,321,50,50,0.000469,0,0.0,0.0
B0_OFF,BENIGN_DIVERSE_HIGH,9,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,5007,5007,0,0,0.000944,0,0.0,0.0
RFC_DROP_NATIVE,BENIGN_DIVERSE_HIGH,9,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,5578,5578,0,0,0.000661,0,0.0,0.0
RFC_DROP_NATIVE,ATTACK_DIVERSE_MODERATE,9,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,400,400,50,50,0.000941,0,0.0,0.0
B5_LOCKED_TC,BENIGN_DIVERSE_MODERATE,9,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,346,346,0,0,0.000563,0,0.0,0.0
B1_RL2_TC,BENIGN_DIVERSE_HIGH,9,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,5660,5660,0,0,0.000657,0,0.0,0.0
B5_LOCKED_TC,BENIGN_DIVERSE_HIGH,9,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,6012,6012,0,0,1802.325257,2,0.162693,0.0
B1_RL2_TC,ATTACK_DIVERSE_MODERATE,10,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,321,321,50,50,1859.32144,0,0.0,0.0
B0_OFF,ATTACK_DIVERSE_MODERATE,10,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,321,321,50,50,0.000471,0,0.0,0.0
B1_RL2_TC,ATTACK_DIVERSE_HIGH,10,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,4911,4911,50,50,0.000941,0,0.0,0.0
B5_LOCKED_TC,ATTACK_DIVERSE_HIGH,10,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,4868,4868,50,50,1820.89516,0,0.0,0.0
